2026-08-27 20:52:02,036 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipip_country/ipip_country_mg.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:52:03,376 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/ipip_country/ipip_country_tr.netset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:52:05,008 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/bitcoin_nodes.ipset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:52:07,445 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/esentire_14072015_com.ipset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:52:07,493 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/esentire_atomictrivia_ru.ipset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:52:07,539 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/esentire_dorttlokolrt_com.ipset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:52:07,692 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/esentire_hasanhashsde_ru.ipset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:52:07,922 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/hphosts_hjk.ipset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:52:08,022 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/hphosts_grm.ipset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:52:14,484 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/nixspam.ipset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:52:14,485 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/iw_wormlist.ipset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:52:14,766 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/php_spammers.ipset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:52:16,170 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/urandomusto_ssh.ipset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-08-27 20:52:16,195 - ERROR - Failed to download file from https://raw.githubusercontent.com/firehol/blocklist-ipsets/master/tor_exits_30d.ipset: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
